,attribute,cond0,cond1,cond2,cond3,cond4,cond5,cond6
0,label,cond_prac,cond_feature_A,cond_feature_B,cond_feature_AB,cond_conj_A,cond_conj_B,cond_conj_AB
1,n_row,5,5,5,5,5,5,5
2,n_col,8,8,8,8,8,8,8
3,placement_rule,cardinal,cardinal,cardinal,cardinal,cardinal,cardinal,cardinal
4,prop_target,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,prop_targ1,0.5,0.25,0.75,0.5,0.25,0.75,0.5
6,prop_dist1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,n_targ_class,2,2,2,2,2,2,2
8,n_dist_class,2,2,2,2,2,2,2
9,stopping_rule,exhaustive,exhaustive,exhaustive,exhaustive,exhaustive,exhaustive,exhaustive
10,point_threshold,20,20,20,20,20,20,20
11,max_time,60,60,60,60,60,60,60
12,distracter_click,recycle,recycle,recycle,recycle,recycle,recycle,recycle
13,display_line,off,off,off,off,off,off,off
14,display_feedback,off,off,off,off,off,off,off
15,targ1_col,White,Red,Red,Red,Red,Red,Red
16,targ2_col,Black,Lime,Lime,Lime,Lime,Lime,Lime
17,dist1_col,OldLace,Blue,Blue,Blue,Red,Red,Red
18,dist2_col,Thistle,Yellow,Yellow,Yellow,Lime,Lime,Lime
19,targ1_shape,3,99,99,99,4,4,4
20,targ2_shape,3,99,99,99,99,99,99
21,dist1_shape,3,99,99,99,99,99,99
22,dist2_shape,3,99,99,99,4,4,4
23,targ1_points,1,1,1,1,1,1,1
24,targ2_points,1,1,1,1,1,1,1
25,dist1_points,0,0,0,0,0,0,0
26,dist2_points,0,0,0,0,0,0,0
